activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,73.0,72.0,70,78
1,Hike Sandstone Peak in the Santa Monicas,20,20,68.7,78.0,0,85
2,Pickup basketball at the Venice Beach courts,20,20,63.35,72.0,35,78
3,Visit LACMA,20,20,76.75,78.0,72,85
4,LAFC game at BMO Stadium,20,20,65.0,71.0,50,72
5,Rams game at SoFi Stadium,20,20,57.35,65.0,35,72
6,Korean BBQ feast in K-town,20,20,73.55,72.0,65,78
7,Whale watching out of Long Beach,20,20,72.9,72.0,60,78
8,Joshua Tree day trip,20,20,78.65,78.0,72,85
9,Big Bear day trip,20,20,68.6,72.0,55,72
10,Drive PCH up to Malibu,20,20,78.2,78.0,72,85
11,Bowling at Lucky Strike Hollywood,20,20,58.15,62.0,35,65
12,Brewery hop through the Arts District,20,20,54.0,55.0,35,65
13,Rose Bowl Flea Market in Pasadena,20,20,71.3,72.0,65,78
14,Drive-in movie at the Vineland,20,20,63.3,70.0,50,72
15,Comedy show at the Comedy Store,20,20,69.55,72.0,55,78
16,UCB improv show in Hollywood,20,20,73.0,72.0,65,78
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,79.5,79.0,72,85
18,Visit the La Brea Tar Pits,20,20,79.6,78.0,72,85
19,Sunset drive up Mulholland,20,20,76.1,78.0,70,82
20,Sunset at El Matador Beach,20,20,79.75,78.0,78,85
21,Snorkel at Leo Carrillo State Beach,20,20,72.7,72.0,65,78
22,Pier fishing at the Santa Monica Pier,20,20,56.8,62.0,35,65
23,Hike Bridge to Nowhere in the San Gabriels,20,20,74.8,76.5,65,78
24,Topanga State Park hike,20,20,72.85,75.0,50,78
25,Trail run through Eaton Canyon,20,20,74.2,78.0,65,78
26,Sturtevant Falls hike in Sierra Madre,20,20,75.45,78.0,72,78
27,Hike Temescal Canyon,20,20,69.9,72.0,50,78
28,Clippers game at the Intuit Dome,20,20,57.15,65.0,0,72
29,Angels game at Angel Stadium,20,20,59.65,65.0,35,68
30,UCLA basketball at Pauley Pavilion,20,20,64.15,65.0,50,78
31,Mini-golf in Old Pasadena,20,20,66.1,65.0,62,72
32,Sawtelle ramen crawl on the Westside,20,20,74.5,78.0,60,78
33,Thai Town dinner crawl,20,20,77.85,78.0,72,85
34,Olvera Street tacos and walking tour,20,20,75.8,78.0,72,82
35,Petersen Automotive Museum on Wilshire,20,20,68.95,72.0,60,75
36,California Science Center to see the Endeavour,20,20,83.45,85.0,72,88
37,The Huntington gardens in San Marino,20,20,81.75,85.0,72,90
38,Griffith Observatory at night,20,20,82.65,85.0,75,88
39,Day trip up to Santa Barbara,20,20,75.0,75.0,72,78
40,Bottomless brunch in West Hollywood,20,20,39.0,35.0,35,55
41,Wine tasting in Malibu,20,20,61.3,60.0,50,72
42,Bar crawl on Abbot Kinney in Venice,20,20,39.0,35.0,35,55
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,40.0,35.0,35,60
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,53.8,55.0,35,72
45,Day at Hollywood Park Casino,20,20,29.5,30.0,25,35
46,Betting on horses at Santa Anita,20,20,35.0,35.0,25,45
47,Paintball day in Sun Valley,20,20,56.0,60.0,35,65
48,Airsoft battle at Tac City in Fullerton,20,20,60.45,65.0,35,72
49,Off-road OHV day in Hungry Valley,20,20,51.75,55.0,35,65
50,Race car experience at Willow Springs,20,20,73.0,72.0,65,78
