activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,67.55,68.0,55,82
1,Hike Sandstone Peak in the Santa Monicas,20,20,70.35,68.0,55,85
2,Pickup basketball at the Venice Beach courts,20,20,54.6,52.5,30,85
3,Visit LACMA,20,20,77.05,78.0,70,82
4,LAFC game at BMO Stadium,20,20,60.3,61.0,45,80
5,Rams game at SoFi Stadium,20,20,58.9,58.0,40,78
6,Korean BBQ feast in K-town,20,20,64.7,66.5,35,85
7,Whale watching out of Long Beach,20,20,75.4,75.0,65,85
8,Joshua Tree day trip,20,20,76.2,75.0,70,85
9,Big Bear day trip,20,20,67.85,66.5,55,80
10,Drive PCH up to Malibu,20,20,68.9,72.0,50,80
11,Bowling at Lucky Strike Hollywood,20,20,59.7,60.0,40,80
12,Brewery hop through the Arts District,20,20,50.3,48.0,35,72
13,Rose Bowl Flea Market in Pasadena,20,20,69.9,70.0,60,80
14,Drive-in movie at the Vineland,20,20,65.15,65.0,52,78
15,Comedy show at the Comedy Store,20,20,72.9,72.0,65,82
16,UCB improv show in Hollywood,20,20,73.55,75.5,62,82
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,77.8,78.0,70,85
18,Visit the La Brea Tar Pits,20,20,80.5,80.0,78,85
19,Sunset drive up Mulholland,20,20,71.75,73.0,48,82
20,Sunset at El Matador Beach,20,20,79.4,80.0,68,90
21,Snorkel at Leo Carrillo State Beach,20,20,69.65,69.0,55,85
22,Pier fishing at the Santa Monica Pier,20,20,57.5,56.5,42,70
23,Hike Bridge to Nowhere in the San Gabriels,20,20,69.9,72.0,55,85
24,Topanga State Park hike,20,20,71.55,72.0,60,85
25,Trail run through Eaton Canyon,20,20,64.9,61.0,50,85
26,Sturtevant Falls hike in Sierra Madre,20,20,70.85,72.0,50,85
27,Hike Temescal Canyon,20,20,68.65,66.5,50,85
28,Clippers game at the Intuit Dome,20,20,55.7,60.0,35,78
29,Angels game at Angel Stadium,20,20,61.05,60.0,45,80
30,UCLA basketball at Pauley Pavilion,20,20,58.25,60.0,35,80
31,Mini-golf in Old Pasadena,20,20,65.1,65.0,55,75
32,Sawtelle ramen crawl on the Westside,20,20,66.6,68.5,48,80
33,Thai Town dinner crawl,20,20,65.75,70.0,30,85
34,Olvera Street tacos and walking tour,20,20,73.9,73.5,55,80
35,Petersen Automotive Museum on Wilshire,20,20,67.6,68.0,60,80
36,California Science Center to see the Endeavour,20,20,85.15,85.0,82,90
37,The Huntington gardens in San Marino,20,20,81.6,80.0,72,90
38,Griffith Observatory at night,20,20,83.45,84.5,80,88
39,Day trip up to Santa Barbara,20,20,68.55,69.0,50,80
40,Bottomless brunch in West Hollywood,20,20,41.55,38.0,30,68
41,Wine tasting in Malibu,20,20,51.0,51.5,35,75
42,Bar crawl on Abbot Kinney in Venice,20,20,38.75,35.0,25,60
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,31.6,30.0,20,60
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,51.6,55.0,35,62
45,Day at Hollywood Park Casino,20,20,30.6,30.0,20,50
46,Betting on horses at Santa Anita,20,20,32.3,30.0,20,45
47,Paintball day in Sun Valley,20,20,52.55,56.5,35,75
48,Airsoft battle at Tac City in Fullerton,20,20,46.5,43.5,30,73
49,Off-road OHV day in Hungry Valley,20,20,44.3,40.0,30,72
50,Race car experience at Willow Springs,20,20,64.5,66.5,38,80
51,Cliff jumping at Malibu's coves,20,20,34.95,35.0,20,55
52,Sport fishing for tuna out of San Pedro,20,20,39.1,40.0,30,50
